headlines,terms,dates
"rt @michaeljohns: biden center at university of pennsylvania failed to disclose millions of dollars in donations from china, @nlpc complain…",biden,Thu May 28 23:59:59 +0000 2020
rt @catturd2: speaking of election interference. why is joe biden in my timeline -when i don’t follow him and don’t give a damn what he h…,biden,Thu May 28 23:59:59 +0000 2020
"rt @56blackcat: loved this front joe biden,worth another look ~ ",biden,Thu May 28 23:59:59 +0000 2020
rt @davidjharrisjr: joe biden refuses to say how much money flowed into his nonprofits from china.,biden,Thu May 28 23:59:59 +0000 2020
"rt @realjameswoods: while biden’s hidin’, the world marches on... #basementbiden",biden,Thu May 28 23:59:58 +0000 2020
"@zachsjacobson @ewarren joe ""did i just shart myself again?"" biden? sure.",biden,Thu May 28 23:59:58 +0000 2020
rt @joncoopertweets: .@joebiden’s campaign is now selling these biden-branded face masks. most of the price goes towards a campaign donatio…,biden,Thu May 28 23:59:58 +0000 2020
rt @newtgingrich: a new poll in the @washtimes finds that voters in nine swing states favor @realdonaldtrump over joe biden to hold china a…,biden,Thu May 28 23:59:58 +0000 2020
"rt @joebiden: today, we learned that another 2.1 million people filed for unemployment last week, bringing the total number of new claims s…",biden,Thu May 28 23:59:57 +0000 2020
rt @kylegriffin1: the biden campaign is now selling face masks. ,biden,Thu May 28 23:59:57 +0000 2020
"dangerously frightening to have creepy, sleazy, senility joe biden as potential nomineee for the presidential posit… ",biden,Thu May 28 23:59:56 +0000 2020
"rt @profjscarberry: @rachelbitecofer @nytopinion morever, biden hasn't been able to ""unlock"" sanders' online small donors: he needs the ent…",biden,Thu May 28 23:59:56 +0000 2020
rt @e_iaco: gov crime family potus bo: criminal vp biden: (idiot) criminal ss kerry: criminal ag lynch: criminal nsa rice: criminal…,biden,Thu May 28 23:59:55 +0000 2020
rt @jackturmaniii: joe biden's fundraiser tonight hosted by sen. tammy duckworth raised $1.6 million according to a source familiar with th…,biden,Thu May 28 23:59:55 +0000 2020
