headlines,terms,dates
"rt @capepac: clinton: romney's right, the economy isn't ""fixed"" -- and obama knows it - #stopmrobama",obama,Thu Oct 18 23:59:58 +0000 2012
"@c_knight15 they where bad and why do you think obama is being killed for his ""mismanagement"" of the economy? lol",obama,Thu Oct 18 23:59:53 +0000 2012
obama is trying to boost the economy by bailouts and gov spending....this is helping no one...in fact it is hurting the united states,obama,Thu Oct 18 23:59:45 +0000 2012
an economy under president romney #optimal the economy under obama #notoptimal,obama,Thu Oct 18 23:59:24 +0000 2012
a second term for obama will lead to the destruction of the economy #tcot #sgp #teaparty #obamadoesntcare,obama,Thu Oct 18 23:59:06 +0000 2012
"rt @justasingleteen: george w. bush fucked up this economy, not obama.",obama,Thu Oct 18 23:58:47 +0000 2012
"first presidential debate: economy two: in the second debate section, president barack obama and gop challenger ... ",obama,Thu Oct 18 23:58:30 +0000 2012
@oreillyfactor obama wants us to go over the fiscal cliff so romney can inherit a worse economy than he did!,obama,Thu Oct 18 23:56:57 +0000 2012
clinton: obama knows economy not ‘fixed’ - fox news ,obama,Thu Oct 18 23:56:29 +0000 2012
rt @cfact: california’s bankrupt #green #energy economy is #obama #epa’s model for the nation ,obama,Thu Oct 18 23:56:09 +0000 2012
obama’s record: struggling to bring back jobs ,obama,Thu Oct 18 23:55:34 +0000 2012
obama’s record: struggling to bring back jobs ,obama,Thu Oct 18 23:55:34 +0000 2012
obama’s record: struggling to bring back jobs ,obama,Thu Oct 18 23:55:33 +0000 2012
obama’s record: struggling to bring back jobs ,obama,Thu Oct 18 23:55:33 +0000 2012
obama’s record: struggling to bring back jobs ,obama,Thu Oct 18 23:55:33 +0000 2012
rt @thehermancain: bill clinton: romney's right. economy isn't fixed. obama knows it: #tcot,obama,Thu Oct 18 23:55:23 +0000 2012
"today at his speech bill clinton agrees with @mittromney - ""our country is not fixed"" obama's economy is #notoptimal",obama,Thu Oct 18 23:55:06 +0000 2012
"huge network | #campaign for obama and romney, small new... #mittromney #denverbroncos #washingtonpost #news #hnn",obama,Thu Oct 18 23:55:05 +0000 2012
"for obama and romney, small new hampshire could have a big impact via @washingtonpost",obama,Thu Oct 18 23:55:05 +0000 2012
rt @chrisjzullo: republicans can't complain about the economy or jobs when they refuse to pass any of president obama's legislation. if ...,obama,Thu Oct 18 23:54:21 +0000 2012
rt @dcameronfg: a superpac just ran an ad here in nc with a women watching obama on a flat screen in her gourmet kitchen complaining abo ...,obama,Thu Oct 18 23:54:16 +0000 2012
"obama, romney's housing plans won't make huge difference: report - #realestate #economy #romney #obama",obama,Thu Oct 18 23:54:08 +0000 2012
bob beckel on today's gallup poll: if this numbers are correct it is over for obama #economy #tcot,obama,Thu Oct 18 23:54:01 +0000 2012
"rt @thedailyedge: reminder: no one did more to enable the bush crash or sabotage the obama recovery than ""polite"" paulryan ...",obama,Thu Oct 18 23:53:24 +0000 2012
rt @90days90reasons: obama understands that education and healthcare drive a strong economy.-@robdelaney #90reasons ...,obama,Thu Oct 18 23:53:14 +0000 2012
gas prices have come down a little lately. does that mean the economy is starting to tank president obama? #tcot #teaparty,obama,Thu Oct 18 23:52:51 +0000 2012
rt @mormondems: cbo reports federal #deficit under #obama shrunk from 10.1% of gdp in 2009 to 7.0% in 2012 #economy ...,obama,Thu Oct 18 23:52:41 +0000 2012
bill clinton: the economy is not fixed. obama knows it. | washingtonexaminer ,obama,Thu Oct 18 23:52:22 +0000 2012
rt @jska_: obama says this is his specific plan for the economy i don't see any specifics...,obama,Thu Oct 18 23:52:14 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:51:55 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:51:49 +0000 2012
@meg805 must be nice to live high and mighty. obama has had 4 years to turn our economy around. our economy is worse with him. fact.,obama,Thu Oct 18 23:51:14 +0000 2012
"rt @kvnsheridan: agree--&gt; ""it is true, we’re not fixed.” --president clinton on obama economy.",obama,Thu Oct 18 23:51:03 +0000 2012
rt @eavesdropann: “@chiefragingbull: president obama &amp; the economy: are americans stupid? via @common_sense4u,obama,Thu Oct 18 23:51:01 +0000 2012
"rt @biasedgirl: clinton goes rogue: ""it's true obama hasn't fixed the economy"" ",obama,Thu Oct 18 23:50:58 +0000 2012
michelle obama says president barack obama 'didn't point fingers' regarding the bad economy ,obama,Thu Oct 18 23:50:55 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:50:40 +0000 2012
rt @dcameronfg: a superpac just ran an ad here in nc with a women watching obama on a flat screen in her gourmet kitchen complaining abo ...,obama,Thu Oct 18 23:50:39 +0000 2012
another ceo threatens to fire employees if obama wins via @thinkprogress,obama,Thu Oct 18 23:50:36 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:49:37 +0000 2012
 clinton talks down obama .,obama,Thu Oct 18 23:49:31 +0000 2012
"just like previous years, my harrah's card is not a good enough id to buy a beer. this is stupid. obama! mitt! fix this, not the economy!",obama,Thu Oct 18 23:49:12 +0000 2012
"#investing #economy citi on the election: ""ignore pundits &amp; partisans; huffpo data says obama"": with... #investment",obama,Thu Oct 18 23:49:07 +0000 2012
"rt @zerohedge citi on the election: ""ignore pundits &amp; partisans; huffpo data says obama"" #economy",obama,Thu Oct 18 23:49:05 +0000 2012
i see that angela merkle is pushing for tax cuts to boost the economy. shouldn't she talk with obama first? that just won't work.,obama,Thu Oct 18 23:49:05 +0000 2012
"bill clinton sticking that knife into obama. romney’s argument “is true,” obama hasn’t fixed economy… via @sharethis",obama,Thu Oct 18 23:48:46 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:48:35 +0000 2012
“@chiefragingbull: president obama &amp; the economy: are americans stupid? via @common_sense4u,obama,Thu Oct 18 23:48:34 +0000 2012
“@kfiam640: watch: bill clinton admits obama has not fixed the economy. @adamsbaldwin,obama,Thu Oct 18 23:48:30 +0000 2012
bill clinton on the obama economy: “it’s true — we’re not fixed” ,obama,Thu Oct 18 23:48:27 +0000 2012
rt @slmiller222: clinton: 'it is true' obama hasn't fixed economy...i told you after hillary took the fall bubba would take obama down. ...,obama,Thu Oct 18 23:48:13 +0000 2012
how many people believe that romney policies would do more to help jobs and the economy than obama's are doing? that'll decide the election.,obama,Thu Oct 18 23:48:08 +0000 2012
rt @cfact: california’s bankrupt #green #energy economy is #obama #epa’s model for the nation ,obama,Thu Oct 18 23:47:36 +0000 2012
rt @thehermancain: bill clinton: romney's right. economy isn't fixed. obama knows it: #tcot,obama,Thu Oct 18 23:46:45 +0000 2012
"kerry ladka wants obama's social programs but romney's business acumen. he should realize that if the economy tanks, t…",obama,Thu Oct 18 23:45:53 +0000 2012
"rt @whpresscorps: rt @kevinmaddendc: ""clinton: romney's right, the economy isn't 'fixed' -- and obama knows it""- ",obama,Thu Oct 18 23:45:52 +0000 2012
remember that when dems cite statistics they use same 'experts' that are 'surprised' every week at the weakness of the obama economy. #tcot,obama,Thu Oct 18 23:45:45 +0000 2012
@evalongoria the issues rt“@jeanniemcbride: clinton: 'it is true' obama hasn't fixed economy via @breitbartnews”,obama,Thu Oct 18 23:44:35 +0000 2012
your us govt &amp; with your taxpayer dolllars spet over $1.0 trllion dollars on welfare alone. despicable. obama has trashed economy #p2 #tcot,obama,Thu Oct 18 23:44:35 +0000 2012
rt @bloggingheads: glenn loury and john mcwhorter interrogate obama’s argument that bush is largely to blame for the weak economy. ...,obama,Thu Oct 18 23:44:33 +0000 2012
@slone obama never had a clue! hence economy worse every year last 4 yrs! must vote dems out to give romney super majority to work with!,obama,Thu Oct 18 23:44:04 +0000 2012
rt @barackobama: president obama: “i’m not going to cut things like education. i’m not going to cut research that helps our economy.”,obama,Thu Oct 18 23:44:02 +0000 2012
"rt @kristy_c_h: clinton: 'it is true' obama hasn't fixed economy in other news, obama pulls hillary out from under ...",obama,Thu Oct 18 23:43:12 +0000 2012
administration officials on ‘fiscal cliff’: obama is prepared to play hardball ,obama,Thu Oct 18 23:43:09 +0000 2012
#romney #obama #economy #election #vote #republican #democrat #conservative ,obama,Thu Oct 18 23:42:42 +0000 2012
rt @barackobama: president obama: “i’m not going to cut things like education. i’m not going to cut research that helps our economy.”,obama,Thu Oct 18 23:42:11 +0000 2012
rt @jeanniemcbride: clinton: 'it is true' obama hasn't fixed economy via @breitbartnews,obama,Thu Oct 18 23:42:11 +0000 2012
rt @dickmorristweet: it's very clear that obama is misleading the people with his stats on jobs and the economy. romney's telling the tr ...,obama,Thu Oct 18 23:42:04 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:41:49 +0000 2012
"rt @barackobama: president obama in new hampshire: “we can’t grow this economy from the top down. this economy grows from the middle out.""",obama,Thu Oct 18 23:41:39 +0000 2012
"rt @kevinmaddendc: ""clinton: romney's right, the economy isn't 'fixed' -- and obama knows it""- ",obama,Thu Oct 18 23:41:23 +0000 2012
"so obama says cheap gas when he took office was due to horrible economy, shouldnt gas be free now by that logic? #justresignalreadyasshole",obama,Thu Oct 18 23:41:05 +0000 2012
"listen to b, clinton on bho bill clinton on the obama economy: “it’s true — we’re not fixed” « hot air via @hotairblog",obama,Thu Oct 18 23:40:19 +0000 2012
rt @dcameronfg: a superpac just ran an ad here in nc with a women watching obama on a flat screen in her gourmet kitchen complaining abo ...,obama,Thu Oct 18 23:39:20 +0000 2012
"clinton: 'it is true' obama hasn't fixed economy in other news, obama pulls hillary out from under the benghazi bus",obama,Thu Oct 18 23:38:05 +0000 2012
"popular: bill clinton: romney’s argument “is true,” obama hasn’t fixed the economy… [vid]",obama,Thu Oct 18 23:37:58 +0000 2012
this country is not optimal...obama is not optimal...the economy is not optimal.....more of the same is not optimal... vote romney/ryan,obama,Thu Oct 18 23:37:52 +0000 2012
"rt @monicacrowley: as i predicted: bill clinton turns on obama, saying romney is right to say o ""hasn't fixed the economy."" oh snap! #bu ...",obama,Thu Oct 18 23:37:14 +0000 2012
“@abcnewslive: fact before obama took office the economy was losing 800000 jobs a month. now weve seen 31 consecutive months of job growth.”,obama,Thu Oct 18 23:35:47 +0000 2012
rt @cafenetamerica: president obama’s taxpayer-backed green energy failures - #news #economy #obama2012 #p2 #tcot # ...,obama,Thu Oct 18 23:34:56 +0000 2012
president obama’s taxpayer-backed green energy failures - #news #economy #obama2012 #p2 #tcot #lnyhbt,obama,Thu Oct 18 23:34:03 +0000 2012
rt @dcameronfg: a superpac just ran an ad here in nc with a women watching obama on a flat screen in her gourmet kitchen complaining abo ...,obama,Thu Oct 18 23:33:58 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:33:18 +0000 2012
clinton: obama knows economy not ‘fixed’ - fox news ,obama,Thu Oct 18 23:33:12 +0000 2012
"rt @realdonaldtrump: clinton commented in ohio today that @mittromney is right, the economy has not been fixed under obama.i always said ...",obama,Thu Oct 18 23:33:06 +0000 2012
@gretawire that may be true. obama has no record to run on. divides the nation &amp; defends the islamic terrorists. no plan on economy,obama,Thu Oct 18 23:32:37 +0000 2012
"#notoptimal unemployment. shitty economy, lying liars in the white house and their friends , gas prices, fast and furious.idiots for obama",obama,Thu Oct 18 23:32:27 +0000 2012
rt @amatotalk: clinton: 'it is true' obama hasn't fixed economy ,obama,Thu Oct 18 23:32:22 +0000 2012
@clarkson08 @edshow lol. thanks. i will take it. if obama has solutions please tell me his plan for the economy and plan for medicare,obama,Thu Oct 18 23:31:22 +0000 2012
g+: oct18: #cnn +0 poll: romney buries obama on economy 58-40% . #cbs poll romney… ,obama,Thu Oct 18 23:31:08 +0000 2012
"for obama and romney, small new hampshire could have a big impact ",obama,Thu Oct 18 23:31:04 +0000 2012
"pres #obama is like #president carter , he destroyed our #economy and made it worse and put #americans in danger with his #foreign policies.",obama,Thu Oct 18 23:30:16 +0000 2012
"rt @capepac: clinton: romney's right, the economy isn't ""fixed"" -- and obama knows it - #stopmrobama",obama,Thu Oct 18 23:30:11 +0000 2012
sen. johnson says economy not in free fall when obama took officethe hill (blog)“the reason we're not creating those jobs is because of...,obama,Thu Oct 18 23:30:05 +0000 2012
rt @dcameronfg: a superpac just ran an ad here in nc with a women watching obama on a flat screen in her gourmet kitchen complaining abo ...,obama,Thu Oct 18 23:30:03 +0000 2012
"bill clinton on the obama economy: “it’s true — we’re not fixed”: ""i thought obama was going to cry.""... #tcot #gop",obama,Thu Oct 18 23:29:52 +0000 2012
via @hotairblog: bill clinton on the obama economy: “it’s true — we’re not fixed” #tcot,obama,Thu Oct 18 23:29:51 +0000 2012
[hotair] bill clinton on the obama economy: “it’s true — we’re not fixed” ,obama,Thu Oct 18 23:29:37 +0000 2012
 bill clinton talks down obama after the debate must see this,obama,Thu Oct 18 23:29:36 +0000 2012
"clinton: romney's right, the economy isn't ""fixed"" -- and obama knows it - #stopmrobama",obama,Thu Oct 18 23:29:02 +0000 2012
"@philipaklein obama attacks dicta from presidential debates (big bird &amp;binders) while striking out on real issues (deficit, libya &amp; economy)",obama,Thu Oct 18 23:29:02 +0000 2012
rt @dcameronfg: a superpac just ran an ad here in nc with a women watching obama on a flat screen in her gourmet kitchen complaining abo ...,obama,Thu Oct 18 23:28:40 +0000 2012
"obama’s still vulnerable on the economy: as good as his debate performance was, the president needs to make a cl... ",obama,Thu Oct 18 23:28:22 +0000 2012
"rt @justasingleteen: george w. bush fucked up this economy, not obama.",obama,Thu Oct 18 23:28:22 +0000 2012
"obama’s still vulnerable on the economy: as good as his debate performance was, the president needs to make a cl... ",obama,Thu Oct 18 23:28:21 +0000 2012
"obama’s still vulnerable on the economy: as good as his debate performance was, the president needs to make a cl... ",obama,Thu Oct 18 23:28:20 +0000 2012
"rt @romneycentral: shorter obama: ""i know i fail at economy and jobs and stuff, but bruce springsteen likes me so... don't boo, vote!"" # ...",obama,Thu Oct 18 23:27:59 +0000 2012
"#romnetarypolicy: supporting #bernanke's policy, as long as it doesn't help the economy whilst #obama is #potus. #p2 ",obama,Thu Oct 18 23:27:57 +0000 2012
"rt @justasingleteen: george w. bush fucked up this economy, not obama.",obama,Thu Oct 18 23:27:56 +0000 2012
"rt @abcnewslive: fact: before president obama took office, the economy was losing 800,000 jobs a month. now, we've seen 31 consecutive m ...",obama,Thu Oct 18 23:27:54 +0000 2012
bill clinton on the obama economy: “it’s true — we’re not fixed” « hot air and if o is reelected we will not get fixed!,obama,Thu Oct 18 23:27:30 +0000 2012
clinton: obama knows economy not ‘fixed’ - fox news ,obama,Thu Oct 18 23:27:04 +0000 2012
rt @dcameronfg: a superpac just ran an ad here in nc with a women watching obama on a flat screen in her gourmet kitchen complaining abo ...,obama,Thu Oct 18 23:26:59 +0000 2012
"rt @justasingleteen: george w. bush fucked up this economy, not obama.",obama,Thu Oct 18 23:26:50 +0000 2012
ryan: women 'hit hardest' under obama's economy - paul ryan - fox nation ,obama,Thu Oct 18 23:26:36 +0000 2012
"ryan picks up on clinton's comment today that the economy isn't fixed yet: ""he's right."" recalls comments from obama and biden too.",obama,Thu Oct 18 23:26:25 +0000 2012
"@evalongoria it's about the economy for all of us. fortunately for you, you're doing very well. too many of us aren't. obama isn't working",obama,Thu Oct 18 23:26:24 +0000 2012
