headlines,terms,dates
"rt @capepac: clinton: romney's right, the economy isn't ""fixed"" -- and obama knows it - #stopmrobama",romney,Thu Oct 18 23:59:58 +0000 2012
an economy under president romney #optimal the economy under obama #notoptimal,romney,Thu Oct 18 23:59:24 +0000 2012
romney's radical economic plan for u.s. - ,romney,Thu Oct 18 23:58:53 +0000 2012
new proposal doesn’t stop #romney’s plan-giving a huge tax cut to rich @thinkprogress #p2 #latism ,romney,Thu Oct 18 23:58:24 +0000 2012
romney economic policy director was lobbying for wall street three months ago via @zite,romney,Thu Oct 18 23:58:00 +0000 2012
@oreillyfactor obama wants us to go over the fiscal cliff so romney can inherit a worse economy than he did!,romney,Thu Oct 18 23:56:57 +0000 2012
"post-debate, romney focuses on economy; no mention of libya via @nbcfirstread",romney,Thu Oct 18 23:56:26 +0000 2012
rt @lmafijik: #openfollow opinion: mitt's radical economic plan: howell raines says romney and ryan's economic... # ...,romney,Thu Oct 18 23:55:58 +0000 2012
rt @thehermancain: bill clinton: romney's right. economy isn't fixed. obama knows it: #tcot,romney,Thu Oct 18 23:55:23 +0000 2012
"huge network | #campaign for obama and romney, small new... #mittromney #denverbroncos #washingtonpost #news #hnn",romney,Thu Oct 18 23:55:05 +0000 2012
"for obama and romney, small new hampshire could have a big impact via @washingtonpost",romney,Thu Oct 18 23:55:05 +0000 2012
"obama, romney's housing plans won't make huge difference: report - #realestate #economy #romney #obama",romney,Thu Oct 18 23:54:08 +0000 2012
new proposal doesn’t stop romney’s plan from giving a huge tax cut to the rich via @thinkprogress,romney,Thu Oct 18 23:54:04 +0000 2012
"john king on cnn: poll questions who handle better economy 58%-40% if these numbers hold, romney will win the election. ",romney,Thu Oct 18 23:53:57 +0000 2012
romney economic policy director was lobbying for wall street three months ago via @thinkprogress,romney,Thu Oct 18 23:52:24 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:23 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:22 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff and europe with cnn'...",romney,Thu Oct 18 23:51:22 +0000 2012
"#worldnews #news larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy,... ",romney,Thu Oct 18 23:51:22 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:21 +0000 2012
"#cnn larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal ... ",romney,Thu Oct 18 23:51:21 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:20 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:20 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:20 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:19 +0000 2012
"#news larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal... ",romney,Thu Oct 18 23:51:19 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:19 +0000 2012
"cnn video news: larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, ... ",romney,Thu Oct 18 23:51:19 +0000 2012
"#cnn video larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the f... ",romney,Thu Oct 18 23:51:18 +0000 2012
"#video larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fisca... ",romney,Thu Oct 18 23:51:18 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:17 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fi... #denznews",romney,Thu Oct 18 23:51:17 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:17 +0000 2012
"larry summers: romney's plan won't work: larry summers shares his thoughts on the u.s. economy, the fiscal cliff... ",romney,Thu Oct 18 23:51:17 +0000 2012
"rt @barackobama: potus: ""romney was asked whether hiring more teachers was important to growing our economy. gov. romney said that doesn ...",romney,Thu Oct 18 23:50:03 +0000 2012
"rt @destigrace1: brilliant &gt;&gt;#sensata workers unleash banner at romney ntl hq: ""stop the romney-bain economy!"" - democratic underg ...",romney,Thu Oct 18 23:50:00 +0000 2012
"rt @jstephany: @99uniting: @savesensatajobs &amp; fellow bain workers drop 40ft banner at romney natl hq: ""stop the romney-bain economy! ...",romney,Thu Oct 18 23:49:46 +0000 2012
mrs. romney: women didn’t care about the economy in ’08 election via @americablog,romney,Thu Oct 18 23:49:29 +0000 2012
"bill clinton sticking that knife into obama. romney’s argument “is true,” obama hasn’t fixed economy… via @sharethis",romney,Thu Oct 18 23:48:46 +0000 2012
raines: romney's radical economic plan ,romney,Thu Oct 18 23:48:32 +0000 2012
how many people believe that romney policies would do more to help jobs and the economy than obama's are doing? that'll decide the election.,romney,Thu Oct 18 23:48:08 +0000 2012
fact check: romney's plans wouldn't create 12 million jobs and could slow …enews park forest“yesterday i noted that... ,romney,Thu Oct 18 23:47:32 +0000 2012
rt @thehermancain: bill clinton: romney's right. economy isn't fixed. obama knows it: #tcot,romney,Thu Oct 18 23:46:45 +0000 2012
