headlines,terms,dates
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:59:36 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:59:29 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:58:34 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:58:18 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:58:14 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:57:47 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:57:43 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:57:42 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:56:56 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:56:23 +0000 2016
rt @sandratxas: hillary doesnt understand the millions now out of work thanks to obama economy #podestaemails jobs! jobs! jobs! vote #tru…,hillary,Sat Oct 08 23:52:25 +0000 2016
yep democrats &amp; hillary believe in tax &amp; spend restores the economy. reagan &amp; kennedy lowered the taxes &amp; america f… ,hillary,Sat Oct 08 23:49:15 +0000 2016
"@erictrump from a retired navy vet please please ask your father to rise above the mud of hillary smut &amp; stick with economy, jobs, security.",hillary,Sat Oct 08 23:49:01 +0000 2016
"hillary on terrorism --""it is not going to endanger our economy or our society, but it is a real threat"". the tsa is free? #election2016",hillary,Sat Oct 08 23:48:43 +0000 2016
rt @brianbalint: @derik_saari hillary is for wall st immunity when banks crash economy. #wheresyouroutrage,hillary,Sat Oct 08 23:48:24 +0000 2016
@kentoncole @sheriffclarke @millermeeks hillary said shes putting him in charge of the economy,hillary,Sat Oct 08 23:46:05 +0000 2016
i love hillary in this spoof ... especially when she 'touches' on the usa economy!!!! ,hillary,Sat Oct 08 23:43:41 +0000 2016
@jebbush what kind of jobs will your precious grandaughters have when hillary trashes our economy?,hillary,Sat Oct 08 23:36:55 +0000 2016
"rt @pyrrhop: isn't the gig economy fantastic, poor bernie supporters sharing sign #hillaryclinton16 #basementdwellers #lyingcrookedhillary…",hillary,Sat Oct 08 23:36:36 +0000 2016
