headlines,terms,dates
"rt @correctrecord: 12 big-name business leaders, including republicans &amp; independents, say they won't support #trump: ",trump,Sat Oct 08 23:59:48 +0000 2016
"rt @pmicc33: i should say goodbye 2 destroying isis, jobs, economy, education, borders, healthcare because trump said something stupid 11…",trump,Sat Oct 08 23:59:36 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:58:51 +0000 2016
"rt @pmicc33: i should say goodbye 2 destroying isis, jobs, economy, education, borders, healthcare because trump said something stupid 11…",trump,Sat Oct 08 23:58:43 +0000 2016
"rt @khanoisseur: ""are you a democrat or a republican?""trump: i probably identify as a democrat. economy does better under democrats ",trump,Sat Oct 08 23:58:21 +0000 2016
"rt @correctrecord: 12 big-name business leaders, including republicans &amp; independents, say they won't support #trump: ",trump,Sat Oct 08 23:57:56 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:57:24 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:57:14 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:56:49 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:56:26 +0000 2016
clinton vs. trump: which candidate would be better for the economy? -- the motley fool ,trump,Sat Oct 08 23:56:23 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:56:14 +0000 2016
@hillaryclinton let trump hang himself in the debate! don't talk about the latest scandal- hit him on policies; economy/isis/education etc,trump,Sat Oct 08 23:55:53 +0000 2016
"rt @khanoisseur: ""are you a democrat or a republican?""trump: i probably identify as a democrat. economy does better under democrats ",trump,Sat Oct 08 23:52:42 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:52:26 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:52:17 +0000 2016
"rt @patstone63: a trump presidency would do more than bring shame on us, it will destroy us, it will destroy the wold economy. we lose our…",trump,Sat Oct 08 23:51:57 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:51:53 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:51:48 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:51:25 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:50:06 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:49:46 +0000 2016
rt @politixgal: trump did not--&gt;-shrivel our military-betray our veterans-cripple our economy-increase debt to $20 trillion-double bla…,trump,Sat Oct 08 23:49:34 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:49:07 +0000 2016
"@kellyannepolls strategically, trump needs to own up without apologizing, then pivot to what's worse: war, economy, corruption, etc.",trump,Sat Oct 08 23:48:12 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:48:00 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:47:48 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:47:42 +0000 2016
"rt @khanoisseur: ""are you a democrat or a republican?""trump: i probably identify as a democrat. economy does better under democrats ",trump,Sat Oct 08 23:47:42 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:47:40 +0000 2016
rt @middleagedmezzo: my delusional congressman.@repscottperry thinks 🍆bankruptcy king and parasite 💩grifter 💩creep 💩trump 💩would be good fo…,trump,Sat Oct 08 23:47:02 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:46:44 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:46:42 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:46:25 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:46:21 +0000 2016
"rt @roycan79: for middle class, this election is about economy: if you want more take-home pay, vote trump. if you want less take-home pa…",trump,Sat Oct 08 23:46:21 +0000 2016
"rt @khanoisseur: ""are you a democrat or a republican?""trump: i probably identify as a democrat. economy does better under democrats ",trump,Sat Oct 08 23:46:08 +0000 2016
