headlines,terms,dates
"rt @tammytabby: dimon, 1 of most respected bankers in us-joe biden said he was going to announce his financial plan 4 economy-if dimon cor…",biden,Thu May 28 23:59:41 +0000 2020
rt @andrewhclark: and yet biden still staunchly opposes any states beginning to reopen.opposes stores opening up. opposes americans goi…,biden,Thu May 28 23:59:33 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:59:20 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:59:13 +0000 2020
rt @tvnewshq: fox’s @jessebwatters: “i don’t think biden is some sort of economic genius. i don’t think he’s going to run on the economy ag…,biden,Thu May 28 23:58:04 +0000 2020
"rt @jeneps: sen. cortez masto pulls out of veepstakes: ""i support joe biden 100% &amp; will work tirelessly to help get him elected this novemb…",biden,Thu May 28 23:57:13 +0000 2020
"rt @jeneps: sen. cortez masto pulls out of veepstakes: ""i support joe biden 100% &amp; will work tirelessly to help get him elected this novemb…",biden,Thu May 28 23:56:36 +0000 2020
rt @andrewhclark: and yet biden still staunchly opposes any states beginning to reopen.opposes stores opening up. opposes americans goi…,biden,Thu May 28 23:56:11 +0000 2020
"rt @ezraklein: biden is running as democratic party leader, not transformational candidate. he's channeling the consensus of his party, not…",biden,Thu May 28 23:55:35 +0000 2020
"rt @tammytabby: dimon, 1 of most respected bankers in us-joe biden said he was going to announce his financial plan 4 economy-if dimon cor…",biden,Thu May 28 23:54:26 +0000 2020
rt @andrewhclark: and yet biden still staunchly opposes any states beginning to reopen.opposes stores opening up. opposes americans goi…,biden,Thu May 28 23:54:01 +0000 2020
rt @usmcjarhead1966: @mousetrouse2 @therightmelissa @joebiden pretty sure most rational people think it's ok to get a little angry when:1…,biden,Thu May 28 23:53:37 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:53:36 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:53:26 +0000 2020
"it's a fact, economy was dire straits with gop president, (bush) obama and biden(d) come into office, economy is re… ",biden,Thu May 28 23:52:58 +0000 2020
"@jonfavs @joebiden thanks joe biden , for stepping up to the plate that trump could never fulfill, hes only brought… ",biden,Thu May 28 23:52:23 +0000 2020
rt @usmcjarhead1966: @mousetrouse2 @therightmelissa @joebiden pretty sure most rational people think it's ok to get a little angry when:1…,biden,Thu May 28 23:50:04 +0000 2020
pro-trump super pac to target biden over economy in new ads running in 3 key battlegrounds ,biden,Thu May 28 23:49:20 +0000 2020
"@queenbb30571035 @clydethedog1 @joebiden oh bless your heart, he is saying that biden wouldn't know his head from h… ",biden,Thu May 28 23:48:41 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:48:16 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:48:14 +0000 2020
if they worked around the clock then they were not very good at what they were doing.obama/biden saw 2 pandemics.… ,biden,Thu May 28 23:47:57 +0000 2020
"dimon, 1 of most respected bankers in us-joe biden said he was going to announce his financial plan 4 economy-if d… ",biden,Thu May 28 23:47:06 +0000 2020
"rt @jeneps: sen. cortez masto pulls out of veepstakes: ""i support joe biden 100% &amp; will work tirelessly to help get him elected this novemb…",biden,Thu May 28 23:46:03 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:44:36 +0000 2020
rt @usmcjarhead1966: @mousetrouse2 @therightmelissa @joebiden pretty sure most rational people think it's ok to get a little angry when:1…,biden,Thu May 28 23:44:23 +0000 2020
@joebiden did you know that during the 8 years of the obama presidency between 333-to-500 thousand americans died?… ,biden,Thu May 28 23:44:16 +0000 2020
@jaws1979 @wwj950 oh sure ... give sasgretch more power when biden goes into hiding! she will do to usa what she ha… ,biden,Thu May 28 23:44:16 +0000 2020
"rt @adaminhtowntx: @joebiden still waiting for the joe biden plan that would've prevented the virus from reaching the us, kept it from spre…",biden,Thu May 28 23:43:54 +0000 2020
"rt @thehill: .@kimguilfoyle: ""the obama-biden administration didn't do anything for this country. why would we reward them with a second ch…",biden,Thu May 28 23:42:58 +0000 2020
rt @newyorker: john cassidy discusses how good news about the economy could complicate joe biden’s campaign against donald trump. ,biden,Thu May 28 23:42:00 +0000 2020
@joebiden did you know that during the 8 years of the obama presidency between 333-to-500 thousand americans died?… ,biden,Thu May 28 23:41:32 +0000 2020
