headlines,terms,dates
"rt @orcatra: twitter fact-checks china official after confronted over trump double-standard https://t.co/oqxnjfwgkbyep, here’s an example…",trump,Thu May 28 23:59:53 +0000 2020
"rt @wtp__2020: the economy isn't working for normal people. under trump, the wealth gap continues to explode. it's accelerated with covid…",trump,Thu May 28 23:59:49 +0000 2020
"rt @cajun4trump: breaking exclusive: shhh... the greatest economic recovery in us history has begun - dow up nearly 7,000 points since marc…",trump,Thu May 28 23:59:45 +0000 2020
"rt @5386_478: @jesuslovingmess @usmade1001 @realdonaldtrump stephanie j , i couldn't agree with you more ! president trump is the most ""can…",trump,Thu May 28 23:59:44 +0000 2020
"rt @lalaej: trump's new maga 2.0 slogan: make america great again, again. obama handed 45 a stellar economy on a silver platter. 6x bankr…",trump,Thu May 28 23:59:40 +0000 2020
"rt @puzzlepeaces: trump's new maga 2.0 slogan: make america great again, again. obama handed 45 a stellar economy on a silver platter. 6x…",trump,Thu May 28 23:59:39 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:59:38 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:59:36 +0000 2020
"rt @wtp__2020: the economy isn't working for normal people. under trump, the wealth gap continues to explode. it's accelerated with covid…",trump,Thu May 28 23:59:29 +0000 2020
"rt @masssierraclub: .@realdonaldtrump &amp; @epaawheeler’s #cleanercars rollback fails to protect our health, safety and economy. luckily, @mas…",trump,Thu May 28 23:59:27 +0000 2020
"rt @dcexaminer: ""the great american comeback"": @jim_jordan touts @realdonaldtrump's ability to return strong economy post-coronavirus. ht…",trump,Thu May 28 23:59:26 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:59:25 +0000 2020
"rt @repadamschiff: over 90,000 americans have died from covid-19. our economy is in a downward spiral to great depression-levels.trump do…",trump,Thu May 28 23:59:18 +0000 2020
rt @richforga: i’ve been a big fan of congressman hice and it is an honor to be endorsed by him! together we will help @realdonaldtrump hol…,trump,Thu May 28 23:59:15 +0000 2020
"rt @ezraklein: democrats have some leverage right now. trump’s reelection, and mcconnell’s majority, depend upon the economy. whatever they…",trump,Thu May 28 23:59:01 +0000 2020
rt @themaxburns: my latest for @independent: @realdonaldtrump's election-only messaging is going down in flames. he could be handing @joebi…,trump,Thu May 28 23:58:57 +0000 2020
"rt @rightntruthmat: @realdonaldtrump 100,000 lives are losttrump is incompetent, unfit, and mia and now wants us to die for his economy a…",trump,Thu May 28 23:58:50 +0000 2020
"rt @the_war_economy: if they ""investigated"" walid phares for ties to egypt, then maybe they ""investigated"" trump campaign people for ties t…",trump,Thu May 28 23:58:48 +0000 2020
rt @cosweda: the pandemic and the necessity to shut down the economy.he breezed through both.trump's history shows that he uses strateg…,trump,Thu May 28 23:58:33 +0000 2020
@bachase4 @lightningduck @kmashidae @real_defender @realdonaldtrump even trump cannot sideline china...american eco… https://t.co/duwaepwluv,trump,Thu May 28 23:58:31 +0000 2020
"rt @thehill: katrina pierson: ""all of the democrats know that president trump if anything can jumpstart this economy."" https://t.co/knyyotg…",trump,Thu May 28 23:58:28 +0000 2020
"rt @johntrumpfankjv: lord, i pray you would open the eyes of millions of independents &amp; democrat voters. reveal how tyrannical politicians…",trump,Thu May 28 23:58:28 +0000 2020
@tomilahren get this through your maggat trump ass crack licking head. we do not give a fuck about the economy right now.,trump,Thu May 28 23:58:28 +0000 2020
