headlines,terms,dates
"#obama's climate silence at debate a good thing, activist says #susty #climatechange #obama2012",obama,Thu Oct 18 23:59:10 +0000 2012
fighting to end president obama's war on coal - the hill's congress blog ,obama,Thu Oct 18 23:50:25 +0000 2012
"rt @slmiller222: interesting obama's debate coach, use to work at white house until she claimed it was a hostile work environment. obama ...",obama,Thu Oct 18 23:49:17 +0000 2012
rt @arianna8927: rt “@cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to e ...,obama,Thu Oct 18 23:19:34 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 23:18:45 +0000 2012
obama gets million$ from big oil and wall$t. wildlife environment earthfirst treehugger nwf occupywallst occupy_mainst occupycolleges tmz ew,obama,Thu Oct 18 22:52:18 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 22:38:16 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 22:36:21 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 22:35:55 +0000 2012
help take care of our environment w/ ur red.white &amp; blue plates.preserve natural resources. support obama/biden. they care 4 our homelands.,obama,Thu Oct 18 22:34:06 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 22:33:15 +0000 2012
rt @arianna8927: rt “@cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to e ...,obama,Thu Oct 18 22:31:58 +0000 2012
rt @arianna8927: rt “@cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to e ...,obama,Thu Oct 18 22:27:45 +0000 2012
rt @arianna8927: rt “@cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to e ...,obama,Thu Oct 18 22:27:18 +0000 2012
rt “@cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars”,obama,Thu Oct 18 22:27:03 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 22:23:36 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 22:13:50 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 22:05:52 +0000 2012
".@aheram didn't intend to cheerlead. we've been very critical of obama on civil liberties, the environment, judges, etc...",obama,Thu Oct 18 22:04:59 +0000 2012
rt @cbsthismorning: ted turner: i like obama’s policies better... he’s better on the environment and truly wants to end the wars,obama,Thu Oct 18 21:58:35 +0000 2012
