headlines,terms,dates
@theviewtv i give ann romney high praise 4 subjecting herself to such an unfair/biased environment. will be a great first lady. @anndromney,romney,Thu Oct 18 22:41:18 +0000 2012
"attention! if you are: a female, hispanic, black, gay, asian, a supporter of education or the environment, a vote for romney makes no sense.",romney,Thu Oct 18 22:35:10 +0000 2012
@theviewtv i give ann romney high praise 4 subjecting herself to such an unfriendly environment. will be a great first lady. @anndromney,romney,Thu Oct 18 22:16:23 +0000 2012
will us wind power splutter out if mitt romney cuts its subsidy? - ,romney,Thu Oct 18 22:03:13 +0000 2012
ugh mitt romney! 'north american energy independance'! just by taking the canadian resources and disregarding our environment! screw you.,romney,Thu Oct 18 21:43:02 +0000 2012
"hi, maine! enjoy your environment? helps u earn living, make a life? romney will do what he does best! neglect &amp; ruin it, outsource yr jobs!",romney,Thu Oct 18 21:22:52 +0000 2012
michele kearney's environmental blog: earthtalk: obama and romney on the environment ,romney,Thu Oct 18 21:05:02 +0000 2012
connaughton seen as early front-runner 2 head epa if romney elected rt @lffriedman #environment #pollution #eco,romney,Thu Oct 18 21:04:05 +0000 2012
will us wind power splutter out if mitt romney cuts its subsidy? via @guardian,romney,Thu Oct 18 20:16:07 +0000 2012
romney's charge: obama used bird deaths to attack bakken oil producers. true? via @csmonitor,romney,Thu Oct 18 20:01:43 +0000 2012
#yahoo_environment romney’s ace could come from mystery swing state ,romney,Thu Oct 18 19:51:43 +0000 2012
"romney, obama reps square off over energy plans in debate via @csmonitor",romney,Thu Oct 18 19:47:14 +0000 2012
"""environment"" romney: put wildlife before oil profits!: mitt romney is no george w. bush -- but he sure is tryin... ",romney,Thu Oct 18 19:43:42 +0000 2012
"pbo victory essential for usa.romney means abolition of all rules, for wall st,environment,education,oil drilling,minimum wage,health care",romney,Thu Oct 18 19:36:33 +0000 2012
mitt romney does not care about the environment. president obama cares about the environment.,romney,Thu Oct 18 19:17:22 +0000 2012
president obama’s democratic platform balances environment &amp; development; mitt romney’s republican platform does not address the environment,romney,Thu Oct 18 18:44:11 +0000 2012
#yahoo_environment ann romney tells 'the view' that she's pro-life ,romney,Thu Oct 18 17:48:37 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 17:39:00 +0000 2012
"those voting for romney/ryan are voting to punish the poor and marginal in society, the middle class, the environment and climate change",romney,Thu Oct 18 17:12:13 +0000 2012
earthtalk: obama and romney on the environment #solaranalytics #pv,romney,Thu Oct 18 16:39:02 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 16:13:47 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 16:11:51 +0000 2012
debate fact check: romney stumbles on energy ,romney,Thu Oct 18 16:00:29 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 15:59:24 +0000 2012
my company has created a hostile environment today: the tennessean newspaper has endorsed mitt romney. can i file for worker's comp?,romney,Thu Oct 18 15:56:17 +0000 2012
"rt @johntmarohn: romney scornfully attacks gov't bureaucrats, the same ones who pass laws protecting consumers, voters, women, veterans, ...",romney,Thu Oct 18 15:55:56 +0000 2012
"romney scornfully attacks gov't bureaucrats, the same ones who pass laws protecting consumers, voters, women, veterans, the environment.",romney,Thu Oct 18 15:54:18 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 15:51:19 +0000 2012
the sound of climate silence: romney and obama spar over who wants to drill for more fossil fuels during debate ,romney,Thu Oct 18 15:50:01 +0000 2012
alternative energy: technology: earthtalk: obama and romney on the environment: filed under: energy news ,romney,Thu Oct 18 15:46:04 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 15:39:39 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 15:37:00 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 15:30:11 +0000 2012
"rt @ojailola: i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 15:23:32 +0000 2012
"i'm sick of romney's lack of respect 4 potus, workers, poor, women, tax laws, environment, etc. it's symptom of cancer in gop.",romney,Thu Oct 18 15:23:02 +0000 2012
so sick of our overly p.c. environment. full context &amp; tone of tagg romney's comment was clearly a joking response to a question. #getoverit,romney,Thu Oct 18 15:00:05 +0000 2012
