headlines,terms,dates
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:59:35 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:58:32 +0000 2016
if trump gets elected i'm moving to jupiter. better environment.,trump,Sat Oct 08 23:57:20 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:56:35 +0000 2016
#gop is appalled by #trumptape but they are the ones who created the environment in which a #trump could be the #republican nominee.,trump,Sat Oct 08 23:53:17 +0000 2016
again you are the environment you keep .... trump - pence,trump,Sat Oct 08 23:52:54 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:45:55 +0000 2016
rt @jezebelthegreat: i feel like a trump presidency could be our punishment for our treatment of the environment. kind of like the happenin…,trump,Sat Oct 08 23:45:14 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:45:01 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:43:44 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:43:19 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:40:28 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:39:46 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:39:26 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:39:11 +0000 2016
