headlines,terms,dates
rt @gadflymorse: @wikileaks #debate #debates #debates2016 hrc sells us-all out to dirty frackers for bribes. #neverhillary ,hillary,Sat Oct 08 23:23:52 +0000 2016
rt @gadflymorse: @wikileaks #debate #debates #debates2016 hrc sells us-all out to dirty frackers for bribes. #neverhillary ,hillary,Sat Oct 08 23:08:09 +0000 2016
rt @gadflymorse: @wikileaks #debate #debates #debates2016 hrc sells us-all out to dirty frackers for bribes. #neverhillary ,hillary,Sat Oct 08 22:44:55 +0000 2016
rt @gadflymorse: @wikileaks #debate #debates #debates2016 hrc sells us-all out to dirty frackers for bribes. #neverhillary ,hillary,Sat Oct 08 22:29:45 +0000 2016
@wikileaks #debate #debates #debates2016 hrc sells us-all out to dirty frackers for bribes. #neverhillary ,hillary,Sat Oct 08 22:28:51 +0000 2016
"we are creating the same environment that existed post 9/11. if you don't agree/support hillary, you're pro-putin/russia.",hillary,Sat Oct 08 22:06:19 +0000 2016
"debate - hillary clinton must take the high road. stick to the issues ...economy, education, environment, infrastructure, national security.",hillary,Sat Oct 08 21:24:28 +0000 2016
@vote4jillstein1 @wikileaks #dncleak #debate #debates #debate2016 hrc sells us out to enrich herself. #neverhillary ,hillary,Sat Oct 08 19:44:01 +0000 2016
@cnbci can the epa capture the pollution of hillary's (mrs. clean environment) personal passenger airliner? what a great grin.,hillary,Sat Oct 08 19:02:22 +0000 2016
"it's complicated... ""america's biggest food companies support hillary clinton, with one glaring exception""… ",hillary,Sat Oct 08 18:35:03 +0000 2016
"@hillaryclinton #tpp needs hillary #goldstandard protections for workers, environment and rule of law!the success of usa is an open market!",hillary,Sat Oct 08 18:00:44 +0000 2016
tomorrow night hillary will bait the hell out of #trump. talk about a target-rich environment! may want 2 have medics close at hand donnie.,hillary,Sat Oct 08 17:31:54 +0000 2016
rt @slrrobinson: hillary clinton refuses to take a stand on the dakota access pipeline.,hillary,Sat Oct 08 16:59:51 +0000 2016
"#hillary this, #trump that....any word on substance of policy? #infrastructure #environment #alternative_energy #diplomacy #poverty",hillary,Sat Oct 08 16:56:30 +0000 2016
how @hillaryclinton 's state department sold fracking to the world ,hillary,Sat Oct 08 16:10:35 +0000 2016
"@mike_pence president obama and hillary's research on autism is complete it is not vaccines it is not the genes, it is not the environment",hillary,Sat Oct 08 15:59:49 +0000 2016
@raniakhalek: 'my favorite is hillary clinton calling anti-fracking environment… see more ,hillary,Sat Oct 08 15:58:28 +0000 2016
rt @greenpartyus: hillary hasn't made a statement on the #dakotaaccesspipeline. @drjillstein on the other hand risked arrest opposing. ,hillary,Sat Oct 08 14:34:16 +0000 2016
at least hillary cares about the environment and our wildlife and the middle class. if your not rich i don't see why your voting for trump.,hillary,Sat Oct 08 14:24:07 +0000 2016
wow #hillary has got to be stoooooopid she apparently doesn't understand what an environmentalist is. :o… ,hillary,Sat Oct 08 07:16:32 +0000 2016
rt @greenpartyus: hillary hasn't made a statement on the #dakotaaccesspipeline. @drjillstein on the other hand risked arrest opposing. ,hillary,Sat Oct 08 07:06:58 +0000 2016
"rt @libertyblitz: if you don't understand how poisonous the environment will be for 4 years if hillary gets elected, think about this. ",hillary,Sat Oct 08 05:51:15 +0000 2016
meet the fossil fuel lobbyists raising money for hillary clinton ,hillary,Sat Oct 08 05:49:53 +0000 2016
rt @greenpartyus: hillary hasn't made a statement on the #dakotaaccesspipeline. @drjillstein on the other hand risked arrest opposing. ,hillary,Sat Oct 08 05:08:14 +0000 2016
rt @kasimirurbanski: #hillary took $1m bribe money from big oil. don't democrats care about the environment?? are you going to vote for thi…,hillary,Sat Oct 08 03:46:45 +0000 2016
#hillary took $1m bribe money from big oil. don't democrats care about the environment?? are you going to vote for… ,hillary,Sat Oct 08 03:36:23 +0000 2016
rt @robdromb: support hillary she will generate a gender safe environment for all! ,hillary,Sat Oct 08 03:36:10 +0000 2016
support hillary she will generate a gender safe environment for all! ,hillary,Sat Oct 08 03:34:56 +0000 2016
trumps oil &amp; gas holdings #hillary #hillaryclinton #imwithher #climatechange #environment #remewables #globalwarming ,hillary,Sat Oct 08 03:25:47 +0000 2016
@pattonoswalt the news on hillary is something that any adult already knows about the political process in this hyperpolarized environment.,hillary,Sat Oct 08 03:02:05 +0000 2016
#donaldtrump is a product of his environment. everyone knows #billclinton is a bad influence with his potty mouth and sex appetite. #hillary,hillary,Sat Oct 08 02:39:05 +0000 2016
"rt @secularoutpost: somehow i have the feeling we haven't yet seen the ""october surprise"" hillary has planned for @realdonaldtrump -- ""targ…",hillary,Sat Oct 08 01:52:54 +0000 2016
"somehow i have the feeling we haven't yet seen the ""october surprise"" hillary has planned for @realdonaldtrump -- ""target-rich"" environment",hillary,Sat Oct 08 01:50:10 +0000 2016
where hillary clinton stands on energy and the environment smug ideas that she can stop global warming,hillary,Sat Oct 08 01:24:18 +0000 2016
"rt @tsbnw: #bucketoflosers#hillary's right!we lost jobs, homes, our financial futures &amp; our environment thanks 2 collusion between govt &amp;…",hillary,Sat Oct 08 01:15:34 +0000 2016
"gop thinks climate change is a hoax perpetrated by the ""liberal media""hillary thinks environment groups are funded by russia.🤤#merica",hillary,Sat Oct 08 01:14:20 +0000 2016
@seanhannity why isn't anybody talk abt the boxes of hillary emails they found today.dt was in a private environment bill clinton was at wh,hillary,Sat Oct 08 00:50:32 +0000 2016
@devonesawa sad or not that i grew up in an environment that desensitized me to words. hillary on the other hand has actually gotten people,hillary,Sat Oct 08 00:42:34 +0000 2016
"@cbscheel @linda1746 like obama, hillary thought there could be minimal damage to the environment - both were proven wrong. #fracking",hillary,Sat Oct 08 00:37:54 +0000 2016
rt @maramcewin: hillary is the best candidate 💕she will fight foreducationcontinued health care reformenvironmentgun safety #debates2…,hillary,Sun Oct 09 23:59:53 +0000 2016
