headlines,terms,dates
interesting pair of @drvox stories about increasingly unified climate justice work. this bit suggests biden at leas… ,biden,Thu May 28 23:46:05 +0000 2020
"@angryinsurgent so, you agree that biden would make progress on the environment but would go too slow. is that what… ",biden,Thu May 28 23:45:12 +0000 2020
"@secularcitizen2 @amyklobuchar @joebiden your choices, realistically, are biden or trump. if you're going to trash… ",biden,Thu May 28 23:43:41 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 22:33:18 +0000 2020
the factions of the #democratic coalition have come into alignment on #climate change. #joebiden #election2020… ,biden,Thu May 28 22:30:12 +0000 2020
"rt @tytarmy3: .@dnc: this is how we repeat 2016...@joebiden says he agrees w/ progressives about problems w/ healthcare, environment, eco…",biden,Thu May 28 22:23:53 +0000 2020
"@jasonmhicks i mean the evidence shows that the democrats, particularly of biden's stripe, have led us down the roa… ",biden,Thu May 28 21:28:24 +0000 2020
@usa_polling cannot fathom how anyone on earth (even the bernie or bust types) could place trump ahead of biden for… ,biden,Thu May 28 21:15:57 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 21:03:21 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 20:53:16 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 20:49:12 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 20:39:58 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 20:38:59 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 20:23:13 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 20:20:30 +0000 2020
@ben_spectacular @sirhottest this is why biden felt he could make that joke..blk liberals made the environment comfortable for him.,biden,Thu May 28 20:08:22 +0000 2020
"rt @usa_polling: ""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=2000 / on…",biden,Thu May 28 20:07:45 +0000 2020
"""who do you trust more on the environment?""biden: 48% (+1)trump: 29% (-1)morning consult / may 18, 2020 / n=20… ",biden,Thu May 28 20:05:04 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 19:48:51 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 19:47:08 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 19:46:44 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 19:46:01 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 18:53:55 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 18:48:02 +0000 2020
never get it twisted joe biden largely fostered the environment that lead to george floyd's death.,biden,Thu May 28 18:18:38 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 18:07:10 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 17:59:46 +0000 2020
rt @drvox: biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 17:57:47 +0000 2020
biden already enjoys a solid lead over trump on the issues of environment &amp; energy. ,biden,Thu May 28 17:57:22 +0000 2020
"@auhispanic @joebiden the writer makes that point, saying that the most that biden could win by in this environment… ",biden,Thu May 28 17:45:09 +0000 2020
"rt @dlaustin5: @rl_pharmacist @realjameswoods people like lying, stealing joe biden created the very environment that bred impoverished peo…",biden,Thu May 28 17:34:05 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 17:33:54 +0000 2020
@joelockhart @joebiden vp choice matters a lot. biden’s congressional experience saved obama’s presidency. because… ,biden,Thu May 28 17:10:44 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 16:58:21 +0000 2020
"rt @dlaustin5: @rl_pharmacist @realjameswoods people like lying, stealing joe biden created the very environment that bred impoverished peo…",biden,Thu May 28 16:55:35 +0000 2020
@bidenmarch @joebiden your fools for staying home. if you stay home that’s no protesting it’s just showing your in… ,biden,Thu May 28 16:52:21 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 16:31:13 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 16:21:36 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 16:18:14 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 16:16:26 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 16:12:29 +0000 2020
"rt @joshua_gear: pick any of the 4 most urgent issues- racial justice, healthcare, environment, war...and wonder how the f*ck is ⁦@joebiden…",biden,Thu May 28 16:10:44 +0000 2020
@spectreagent @lw1124 @johncusack voter shaming is not going to get people to turn out for biden. explaining that h… ,biden,Thu May 28 15:19:42 +0000 2020
rt @jscott1145: i’ll given biden one thing. yes he is better on the environment but not nearly enough. not even close to good enough. fra…,biden,Thu May 28 15:01:32 +0000 2020
i’ll given biden one thing. yes he is better on the environment but not nearly enough. not even close to good enoug… ,biden,Thu May 28 14:56:19 +0000 2020
america needs the biden plan for covid19 recovery. we need a president who can restore america's role as a global… ,biden,Thu May 28 14:53:06 +0000 2020
joe biden recently reiterated his desire to stop the keystone xl oil pipeline project. “i’ve been against keystone… ,biden,Thu May 28 14:39:06 +0000 2020
@leodicaprio why is biden the option? i'm so frustrated with having a terrible option against a horrific president.… ,biden,Thu May 28 13:25:37 +0000 2020
"@muychael @rowyourbot @secularcitizen2 @joebiden well, you know what happened last time. obama was fine with a woma… ",biden,Thu May 28 12:58:39 +0000 2020
@mattyglesias which they will *definitely* continue to hold to when president biden issues executive orders on the… ,biden,Thu May 28 12:09:25 +0000 2020
"@riotwomennn @joebiden @owillis lol delusional liberal mentality in that headline, trump isn’t the problem he is th… ",biden,Thu May 28 12:00:58 +0000 2020
"@muychael @rowyourbot @secularcitizen2 @joebiden b - imo, a biden admin would be worse for the environment.joe ha… ",biden,Thu May 28 11:56:41 +0000 2020
"@kenolin1 biden should use his first 100 days to reverse everything trump did in his fiirst 1000, wrt the environme… ",biden,Thu May 28 11:38:55 +0000 2020
@cmac324 @hardballchris what’s the difference what you call it! medicare for all or a vastly improved aca? biden… ,biden,Thu May 28 10:14:36 +0000 2020
"@shpanky24 @joebiden 🤦🏻‍♀️ ""...are sterile"" is part of a description of an or environment 🏥 that you described. mas… ",biden,Thu May 28 07:08:54 +0000 2020
"i hope this flies too. what i like here, thi is mostly here for biden's current moves on the environment.… ",biden,Thu May 28 07:08:08 +0000 2020
factbox: where do trump and biden stand on tech policy issues? #technology #covid19 #health… ,biden,Thu May 28 06:11:47 +0000 2020
@_reaalamerican_ @ingrahamangle covid19 comes courtesy of biden's pals in the ccp - and all the other leftist elite… ,biden,Thu May 28 05:34:18 +0000 2020
"@rl_pharmacist @realjameswoods people like lying, stealing joe biden created the very environment that bred impover… ",biden,Thu May 28 04:22:57 +0000 2020
"as biden courts progressives, campaign enjoys steady lead on the environment among voters - ",biden,Thu May 28 03:14:59 +0000 2020
joe biden on environment:strengthen prohibitions against animal fighting. (jan 2007)#environment,biden,Thu May 28 03:02:13 +0000 2020
"@realdonaldtrump biden asked for a federal investigation, now you tweet this trying to get credit. your fostering a… ",biden,Thu May 28 02:58:46 +0000 2020
"rt @tytarmy3: .@dnc: this is how we repeat 2016...@joebiden says he agrees w/ progressives about problems w/ healthcare, environment, eco…",biden,Thu May 28 02:54:16 +0000 2020
rt @shesternly: when someone states they're not voting for biden or voting for a 3rd party to fulfil their inner idiocy this is what they'r…,biden,Thu May 28 02:42:32 +0000 2020
when someone states they're not voting for biden or voting for a 3rd party to fulfil their inner idiocy this is wha… ,biden,Thu May 28 02:40:17 +0000 2020
"rt @tytarmy3: .@dnc: this is how we repeat 2016...@joebiden says he agrees w/ progressives about problems w/ healthcare, environment, eco…",biden,Thu May 28 02:25:45 +0000 2020
@joebiden president is in the safest environment.joe biden is a fool and a liar !! ,biden,Thu May 28 02:14:27 +0000 2020
"20200527: derek h. burney: hypocrisy abounds against canadian energy [""joe biden’s announcement that, if elected, h… ",biden,Thu May 28 01:56:30 +0000 2020
"@hembree_marlene @nouknitouk @robreiner while biden is preferable over trump, he is also part of the same establish… ",biden,Thu May 28 01:48:23 +0000 2020
@jscott1145 @joebiden dems keep playing the system they co-wrote? they succeed because progressives splinter &amp; comp… ,biden,Thu May 28 01:47:43 +0000 2020
rt @bjlefebvre: new morning consult/politico poll of registered voters: biden has a 19-point lead over president trump re: handling the e…,biden,Thu May 28 01:43:16 +0000 2020
"biden waiting to pick his vice presidential nominee in this environment, is problematic on so many levels but... i… ",biden,Thu May 28 01:35:43 +0000 2020
"at last, a climate policy platform that can unite the left #actonclimate #biden2020… ",biden,Thu May 28 01:20:03 +0000 2020
comrade aoc to co-chair biden's policy committee on the environment ,biden,Thu May 28 00:55:04 +0000 2020
"@amyklobuchar amy, imagine when biden wins &amp; both houses are blue, those bills will pass in the first month &amp; will… ",biden,Thu May 28 00:29:47 +0000 2020
"rt @tytarmy3: .@dnc: this is how we repeat 2016...@joebiden says he agrees w/ progressives about problems w/ healthcare, environment, eco…",biden,Thu May 28 00:12:32 +0000 2020
"@zengypsea the thought of biden as president is still not for me, but trump is causing such a toxic environment. a… ",biden,Fri May 29 23:13:38 +0000 2020
rt @nodank_: joe biden has done more to create the environment that led to the execution of #georgefloyd than donald trump.,biden,Fri May 29 22:31:38 +0000 2020
"@jeremyscahill @ggreenwald glenn and jeremy, no right minded person thinks biden is the saviour. however, he is a m… ",biden,Fri May 29 22:08:46 +0000 2020
rt @nodank_: joe biden has done more to create the environment that led to the execution of #georgefloyd than donald trump.,biden,Fri May 29 21:56:58 +0000 2020
"rt @tytarmy3: .@dnc: this is how we repeat 2016...@joebiden says he agrees w/ progressives about problems w/ healthcare, environment, eco…",biden,Fri May 29 21:32:58 +0000 2020
biden is a slippy mess. and that's important to all of us and our environment. damn.,biden,Fri May 29 21:24:35 +0000 2020
rt @nodank_: joe biden has done more to create the environment that led to the execution of #georgefloyd than donald trump.,biden,Fri May 29 21:23:09 +0000 2020
@crisislizards @ajae22 @adamgreeney @daralynn13 if anything biden will keep everything the same. that means the rac… ,biden,Fri May 29 20:56:04 +0000 2020
@berniebromanny @joebiden if you vote green instead of biden you might as well vote for trump. and i can’t imagine… ,biden,Fri May 29 19:56:26 +0000 2020
@evzen7 @michigansock and really. what comes after 4 years of biden? competent trump 2.0? so biden would doom us to… ,biden,Fri May 29 19:46:04 +0000 2020
"rt @latpoliticalave: as biden courts progressives, campaign enjoys steady lead on the environment among voters ",biden,Fri May 29 19:24:16 +0000 2020
"as biden courts progressives, campaign enjoys steady lead on the environment among voters ",biden,Fri May 29 19:23:48 +0000 2020
rt @nodank_: joe biden has done more to create the environment that led to the execution of #georgefloyd than donald trump.,biden,Fri May 29 19:15:34 +0000 2020
"@voymasa come on, how hard is this? the looting starts. trump calls for shooting. biden calls for calm and a call… ",biden,Fri May 29 19:01:23 +0000 2020
