headlines,terms,dates
rt @dominowski: @veganari @amazinggracetoo for example ... trump rule allows killing bear cubs in dens,trump,Thu May 28 23:59:28 +0000 2020
new trump public land rules will let alaska hunters kill bear cubs in dens. fuck the entire trump family. ,trump,Thu May 28 23:57:34 +0000 2020
"rt @patrickkeneally: ‘amazingly cruel’ move by trump administration strips protections for bears, wolves and coyotes ",trump,Thu May 28 23:57:33 +0000 2020
this sob is satannew trump public land rules will let alaska hunters kill bear cubs in dens ,trump,Thu May 28 23:57:29 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:56:52 +0000 2020
new trump public land rules will let alaska hunters kill bear cubs in dens | environment | the guardian ,trump,Thu May 28 23:56:33 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:56:22 +0000 2020
rt @dominowski: @veganari @amazinggracetoo for example ... trump rule allows killing bear cubs in dens,trump,Thu May 28 23:55:56 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:55:34 +0000 2020
@parksandrecnbc please have leslie fix this.new trump public land rules will let alaska hunters kill bear cubs in… ,trump,Thu May 28 23:54:49 +0000 2020
rt @animal_watch: new trump public land rules will let alaska hunters kill bear cubs in dens @guardianeco #trump #…,trump,Thu May 28 23:54:47 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:54:28 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:53:22 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:52:55 +0000 2020
rt @byianjames: the trump administration is proposing to allow cattle grazing on more than half of the sonoran desert national monument in…,trump,Thu May 28 23:52:18 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:51:53 +0000 2020
"@upp_polls @twitter @realdonaldtrump to me, it's silly. real, objective fact checking takes a considerable time, a… ",trump,Thu May 28 23:51:48 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:51:28 +0000 2020
rt @isadorabright: **the cruelty is the point **new trump public land rules will let alaska hunters kill bear cubs in dens ,trump,Thu May 28 23:51:18 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:50:28 +0000 2020
rt @thehill: 23 states sue trump over rollback of obama fuel efficiency regulations ,trump,Thu May 28 23:50:27 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:50:25 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:50:14 +0000 2020
**the cruelty is the point **new trump public land rules will let alaska hunters kill bear cubs in dens ,trump,Thu May 28 23:50:12 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:49:41 +0000 2020
"rt @michaelemann: ""i could stand in the middle of yellowstone and shoot bear cubs and i wouldn't lose the #maga crowd"" - donald trumph…",trump,Thu May 28 23:48:10 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:47:20 +0000 2020
rt @tveitdal: new trump public land rules will let alaska hunters kill bear cubs in dens ‘amazingly cruel’ move…,trump,Thu May 28 23:45:34 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:44:56 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:44:46 +0000 2020
rt @bennydiego: new trump public land rules will let alaska hunters kill bear cubs in dens.the ‘amazingly cruel’ move by the national par…,trump,Thu May 28 23:44:23 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:43:57 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:43:53 +0000 2020
"@secularcitizen2 @amyklobuchar @joebiden your choices, realistically, are biden or trump. if you're going to trash… ",trump,Thu May 28 23:43:41 +0000 2020
new trump public land rules will let alaska hunters kill bear cubs in dens,trump,Thu May 28 23:43:00 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:42:49 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:42:29 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:42:28 +0000 2020
"rt @motherjones: new ""amazingly cruel"" trump public land rules will let alaska hunters kill bear cubs in dens ",trump,Thu May 28 23:41:37 +0000 2020
@realdonaldtrumpthis is absolutely disgusting. @cnn @washingtonpostnew trump public land rules will let alaska hu… ,trump,Thu May 28 23:40:02 +0000 2020
