headlines,terms,dates
"first presidential debate: health-care: loading... published on oct 18, 2012 by washingtonpost. president obama ... ",obama,Thu Oct 18 23:59:12 +0000 2012
"manchester, n.h. – as the battle for undecided women voters intensifies, president obama today warned that... ",obama,Thu Oct 18 23:58:33 +0000 2012
"manchester, n.h. – as the battle for undecided women voters intensifies, president obama today warned that... ",obama,Thu Oct 18 23:58:19 +0000 2012
"rt @barackobama: president obama: ""women should make their own health care decisions.""",obama,Thu Oct 18 23:57:34 +0000 2012
"@nbcpolitics president obama on women’s health: “the health care law that we passed put those choices in your hands, where they belong.",obama,Thu Oct 18 23:56:13 +0000 2012
mitt romney makes my blood pressure rise. obama is better for my health.,obama,Thu Oct 18 23:55:52 +0000 2012
"rt @nobamagirl: then let us. repealing obamacare would be a good start. rt@barackobama president obama:""women should make their own heal ...",obama,Thu Oct 18 23:52:50 +0000 2012
"rt @barackobama: president obama: ""women should make their own health care decisions.""",obama,Thu Oct 18 23:50:02 +0000 2012
"rt @barackobama: president obama: ""women should make their own health care decisions.""",obama,Thu Oct 18 23:44:16 +0000 2012
"rt @barackobama: president obama on women’s health: “the health care law that we passed put those choices in your hands, where they belo ...",obama,Thu Oct 18 23:44:06 +0000 2012
obama warns women of losing 'health care choices' - yahoo! news via @yahoonews,obama,Thu Oct 18 23:43:32 +0000 2012
"rt @barackobama: president obama: ""women should make their own health care decisions.""",obama,Thu Oct 18 23:42:23 +0000 2012
"rt @barackobama: president obama: ""women should make their own health care decisions.""",obama,Thu Oct 18 23:42:06 +0000 2012
"hey, @timkaine, why are you silent while obama cuts health benefits for america's veterans? - #vasen #vadebate",obama,Thu Oct 18 23:40:32 +0000 2012
"rt @prettyboytweetz: obama killed osama , ended war in iraq , passed health care reform , student loans , veteran support , etc .. but h ...",obama,Thu Oct 18 23:39:13 +0000 2012
block grants: the medicaid cuts that aren't: president obama's health care overhaul currently has medicaid sched... ,obama,Thu Oct 18 23:39:08 +0000 2012
"rt @redbluequest: quotes from springsteen on campaign trail for obama: thankful for health care ; dangers to roe vs. wade, of continuing ...",obama,Thu Oct 18 23:38:08 +0000 2012
