headlines,terms,dates
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:59:35 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:59:34 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:59:26 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:59:02 +0000 2016
trump's words aren't 'explicit sex talk' https://t.co/btjzpaybqq,trump,Sat Oct 08 23:58:39 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:58:32 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:58:13 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:57:43 +0000 2016
"""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get why this happened""",trump,Sat Oct 08 23:57:24 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:56:35 +0000 2016
"@chrislhayes will trump live that long? he owes a lot of money to the russians, which is bad for your health",trump,Sat Oct 08 23:55:11 +0000 2016
rt @lolgop: donald trump should step down and be replaced by some other republican man who wants to take away women's rights and health car…,trump,Sat Oct 08 23:53:51 +0000 2016
rt @womennmedia: trump's words aren't 'explicit sex talk' they describe sexual assault. https://t.co/l0ykbbghfd,trump,Sat Oct 08 23:52:28 +0000 2016
"@kathleenwilley regardless of her health, her policies are failed and we can't afford anymore debt. we must vote trump, save 34 tr",trump,Sat Oct 08 23:50:45 +0000 2016
rt @violetblue: kudos for calling out @washingtonpost; graf 6 is how wapo failed: trump's words aren't 'explicit sex talk' https://t.co/irs…,trump,Sat Oct 08 23:49:18 +0000 2016
"i added a video to a @youtube playlist https://t.co/xy3btq6qgx the view [october 3, 2016]: trump mocks hillary's health | kim",trump,Sat Oct 08 23:48:51 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:45:55 +0000 2016
rt @violetblue: kudos for calling out @washingtonpost; graf 6 is how wapo failed: trump's words aren't 'explicit sex talk' https://t.co/irs…,trump,Sat Oct 08 23:45:29 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:45:01 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:43:44 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:43:19 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:40:28 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:39:46 +0000 2016
@luciferonfox is it possible for maze to help out trump mental health?,trump,Sat Oct 08 23:39:33 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:39:26 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:39:11 +0000 2016
@joseppe12 hillary got trump by the balls with the latest scandal. trump got hillary by the ***** with her health issues. he was joking,trump,Sat Oct 08 23:39:00 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:38:35 +0000 2016
mike 👏 pence 👏 disrespects 👏 women 👏 no 👏 less 👏 than 👏 donald 👏 trump https://t.co/4ptqlfcf3m by #lalahhathaway via @c0nvey,trump,Sat Oct 08 23:38:28 +0000 2016
rt @lolgop: donald trump should step down and be replaced by some other republican man who wants to take away women's rights and health car…,trump,Sat Oct 08 23:38:24 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:38:21 +0000 2016
just how big is trump? we asked 5 experts to — you guessed it — weigh in https://t.co/ato4hrqwt0,trump,Sat Oct 08 23:38:07 +0000 2016
".@mike_pence you're still a tobacco shilling, anti-hiv prevention, reproductive health limiting, lgbtq bigot who signed up for team trump.",trump,Sat Oct 08 23:37:46 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:37:20 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:37:12 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:36:23 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:35:53 +0000 2016
rt @tobymuresianu: which leaked beliefs will do more damage? hillary: i dream of a more open world &amp; universal health caretrump: assaul…,trump,Sat Oct 08 23:35:36 +0000 2016
trump's words aren't 'explicit sex talk' https://t.co/ukhhtgzjep,trump,Sat Oct 08 23:35:21 +0000 2016
"so what happens if trump is forced to drop out, and if clinton does too for ""health reasons""?",trump,Sat Oct 08 23:34:56 +0000 2016
rt @tobymuresianu: which leaked beliefs will do more damage? hillary: i dream of a more open world &amp; universal health caretrump: assaul…,trump,Sat Oct 08 23:34:45 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:34:16 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:34:16 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:34:11 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:33:35 +0000 2016
"#trump is totally uninformed on the constitution, the environment, financing health care, trade, the economy, educa… https://t.co/zy7dnqewoj",trump,Sat Oct 08 23:33:24 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:33:13 +0000 2016
"@kurteichenwald they ""created"" trump: birtherism, attacking women's health privacy, 8 years of obstruction, shutting down govt, tea party.",trump,Sat Oct 08 23:32:35 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:32:13 +0000 2016
trump's words aren't 'explicit sex talk' https://t.co/wqgiypynvp,trump,Sat Oct 08 23:32:08 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:32:00 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:31:19 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:31:12 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... https://t…",trump,Sat Oct 08 23:30:40 +0000 2016
