headlines,terms,dates
"rt @imwithher2016: in the senate, hillary &amp; lindsey graham worked together to provide full military health benefits to national guard membe…",hillary,Sat Oct 08 23:59:16 +0000 2016
"socialized medicine- what hillary is planning. if you think health care+ins(obamacare) is bad now, you'll just have to wait!",hillary,Sat Oct 08 23:58:43 +0000 2016
"rt @truthfeednews: wikileaks release : hillary clinton wants a single-payer health care system with ""long wait"" time ",hillary,Sat Oct 08 23:58:37 +0000 2016
"rt @arnews1936: ""wikileaks just dropped bombshell about hillary’s health… the truth, revealed!"" ",hillary,Sat Oct 08 23:54:19 +0000 2016
#millennial &amp; support the irs forcing you to buy health insurance you don't need &amp; can't afford - vote hillary #tcot #p2 #gop #dem,hillary,Sat Oct 08 23:54:16 +0000 2016
"rt @_proud_american: wikileaks release : hillary clinton wants a single-payer health care system with ""long wait"" time ",hillary,Sat Oct 08 23:54:05 +0000 2016
"rt @imwithher2016: in the senate, hillary &amp; lindsey graham worked together to provide full military health benefits to national guard membe…",hillary,Sat Oct 08 23:53:40 +0000 2016
10 prominent doctors question hillary’s health ,hillary,Sat Oct 08 23:53:32 +0000 2016
rt @cosmopolitan: .@hillaryclinton had the best response to teen’s question about body image ,hillary,Sat Oct 08 23:52:46 +0000 2016
"rt @imwithher2016: in the senate, hillary &amp; lindsey graham worked together to provide full military health benefits to national guard membe…",hillary,Sat Oct 08 23:51:48 +0000 2016
rt @alexdatig: ablow: hillary making a ‘land grab’ of our health care system with single-payer push ,hillary,Sat Oct 08 23:51:39 +0000 2016
"rt @_proud_american: wikileaks release : hillary clinton wants a single-payer health care system with ""long wait"" time ",hillary,Sat Oct 08 23:51:32 +0000 2016
rt @alexdatig: ablow: hillary making a ‘land grab’ of our health care system with single-payer push ,hillary,Sat Oct 08 23:50:25 +0000 2016
"rt @arnews1936: ""wikileaks just dropped bombshell about hillary’s health… the truth, revealed!"" ",hillary,Sat Oct 08 23:49:29 +0000 2016
"i added a video to a @youtube playlist the view [october 3, 2016]: trump mocks hillary's health | kim",hillary,Sat Oct 08 23:48:51 +0000 2016
"rt @_proud_american: wikileaks release : hillary clinton wants a single-payer health care system with ""long wait"" time ",hillary,Sat Oct 08 23:48:48 +0000 2016
"rt @imwithher2016: in the senate, hillary &amp; lindsey graham worked together to provide full military health benefits to national guard membe…",hillary,Sat Oct 08 23:46:09 +0000 2016
"rt @imwithher2016: in the senate, hillary &amp; lindsey graham worked together to provide full military health benefits to national guard membe…",hillary,Sat Oct 08 23:45:45 +0000 2016
"rt @imwithher2016: in the senate, hillary &amp; lindsey graham worked together to provide full military health benefits to national guard membe…",hillary,Sat Oct 08 23:45:19 +0000 2016
"rt @_proud_american: wikileaks release : hillary clinton wants a single-payer health care system with ""long wait"" time ",hillary,Sat Oct 08 23:44:44 +0000 2016
"rt @_proud_american: wikileaks release : hillary clinton wants a single-payer health care system with ""long wait"" time ",hillary,Sat Oct 08 23:44:14 +0000 2016
"wikileaks release : hillary clinton wants a single-payer health care system with ""long wait"" time ",hillary,Sat Oct 08 23:44:04 +0000 2016
