headlines,terms,dates
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:59:35 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:59:34 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:59:26 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:59:02 +0000 2016
trump's words aren't 'explicit sex talk' ,trump,Sat Oct 08 23:58:39 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:58:32 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:58:13 +0000 2016
"rt @mechapoetic: ""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get…",trump,Sat Oct 08 23:57:43 +0000 2016
"""what caused trump?"" ask ppl who want to outlaw unions, nuke iran, &amp; replace health centers w walmarts. ""i just don't get why this happened""",trump,Sat Oct 08 23:57:24 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:56:35 +0000 2016
"@chrislhayes will trump live that long? he owes a lot of money to the russians, which is bad for your health",trump,Sat Oct 08 23:55:11 +0000 2016
rt @lolgop: donald trump should step down and be replaced by some other republican man who wants to take away women's rights and health car…,trump,Sat Oct 08 23:53:51 +0000 2016
rt @womennmedia: trump's words aren't 'explicit sex talk' they describe sexual assault. ,trump,Sat Oct 08 23:52:28 +0000 2016
"@kathleenwilley regardless of her health, her policies are failed and we can't afford anymore debt. we must vote trump, save 34 tr",trump,Sat Oct 08 23:50:45 +0000 2016
rt @violetblue: kudos for calling out @washingtonpost; graf 6 is how wapo failed: trump's words aren't 'explicit sex talk' ,trump,Sat Oct 08 23:49:18 +0000 2016
"i added a video to a @youtube playlist the view [october 3, 2016]: trump mocks hillary's health | kim",trump,Sat Oct 08 23:48:51 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:45:55 +0000 2016
rt @violetblue: kudos for calling out @washingtonpost; graf 6 is how wapo failed: trump's words aren't 'explicit sex talk' ,trump,Sat Oct 08 23:45:29 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:45:01 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:43:44 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:43:19 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:40:28 +0000 2016
"rt @keithboykin: bernie sanders on #trumptape: if his views on economics, health care and the environment don't disqualify him... ",trump,Sat Oct 08 23:39:46 +0000 2016
