headlines,terms,dates
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:58:37 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:58:04 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:57:57 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:57:00 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:56:59 +0000 2020
@riptide360 @cyberfly8 @freedom4all67 @_freedom_fight maybe you are like hillary and biden and obama etc. that when… ,biden,Thu May 28 23:56:33 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:56:25 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:55:14 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:55:02 +0000 2020
rt @realsaavedra: this tweet is a lie as it falsely portrays biden calling for american health experts to be on the ground in china first d…,biden,Thu May 28 23:55:00 +0000 2020
"rt @adamschiff: joe biden’s agenda is practical, ambitious and humane.it will be a game-changer for our workers, our climate, our kids, a…",biden,Thu May 28 23:54:07 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:52:59 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:52:43 +0000 2020
"to joe biden:1. yes we are now prepared for a pandemic2. t rolled back progress on what?3. you &amp; o made what, t… ",biden,Thu May 28 23:51:59 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:51:17 +0000 2020
@joebiden jan 31 continuedformer vice president joe biden called this policy “hysterical xenophobia.” cdc began th… ,biden,Thu May 28 23:51:12 +0000 2020
"rt @ifindkarma: @themaxburns @independent @realdonaldtrump @joebiden president* trump’s *policies* are unpopular:“by a 30-point majority,…",biden,Thu May 28 23:50:49 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:50:35 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:50:19 +0000 2020
"rt @adamschiff: joe biden’s agenda is practical, ambitious and humane.it will be a game-changer for our workers, our climate, our kids, a…",biden,Thu May 28 23:49:50 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:49:14 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:48:51 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:48:42 +0000 2020
"🚨saturday, 4pm et🚨 florida seniors for biden virtual community meeting!join #teamjoe and seniors in florida for… ",biden,Thu May 28 23:46:08 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:45:59 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:45:54 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:45:04 +0000 2020
@jsolomonreports hagel and biden must share the same mental health professional.,biden,Thu May 28 23:44:22 +0000 2020
rt @wiredterrier: you may get universal health care with biden but there will be no jobs from which to get tax dollars to pay for it.,biden,Thu May 28 23:44:08 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:43:08 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:42:07 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:42:01 +0000 2020
you may get universal health care with biden but there will be no jobs from which to get tax dollars to pay for it. ,biden,Thu May 28 23:41:27 +0000 2020
"rt @adamschiff: joe biden’s agenda is practical, ambitious and humane.it will be a game-changer for our workers, our climate, our kids, a…",biden,Thu May 28 23:41:27 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:41:10 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:41:07 +0000 2020
"@joebiden it’s simple really. 2020 comes down to democracy or trump, truth or trump, science or trump, decency or t… ",biden,Thu May 28 23:39:38 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:38:27 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:37:33 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:37:10 +0000 2020
"rt @amborin: ""smart people who ought to know better ignore biden’s history of racist policy making without complaint while simultaneously c…",biden,Thu May 28 23:36:48 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:36:45 +0000 2020
"@co4jorgensen @firechild877 @rigreens biden supports raising minimum wage, public health option, pro-choice, pro-ga… ",biden,Thu May 28 23:36:35 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:34:38 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:34:28 +0000 2020
"rt @tori_sachs: .@govwhitmer says she will ""work like heck to make sure"" joe biden wins michigan. imagine if she had the same energy to fin…",biden,Thu May 28 23:34:04 +0000 2020
-obama talking about health care-joe biden: i found an onion ring in my fries!,biden,Thu May 28 23:33:53 +0000 2020
"rt @tori_sachs: .@govwhitmer says she will ""work like heck to make sure"" joe biden wins michigan. imagine if she had the same energy to fin…",biden,Thu May 28 23:33:40 +0000 2020
"rt @evang8374: @bowmannancy @rightntruthmat @realdonaldtrump wow, we are just grasping at straws here aren’t we, nancy? how’s biden’s hea…",biden,Thu May 28 23:33:04 +0000 2020
"rt @tori_sachs: .@govwhitmer says she will ""work like heck to make sure"" joe biden wins michigan. imagine if she had the same energy to fin…",biden,Thu May 28 23:32:01 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:31:40 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:31:18 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:30:53 +0000 2020
"rt @dameemstr: she lost me when i read joe biden, was only wanting a female vp for sexual purposes! i tweeted back to her she has worked f…",biden,Thu May 28 23:30:52 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:30:28 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:30:20 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:30:12 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:29:47 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:29:35 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:28:49 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:28:46 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:28:33 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:28:12 +0000 2020
rt @slooterman: i was very concerned that biden would adopt the worst parts of harris or klobuchar's plans regarding mental health. he did…,biden,Thu May 28 23:27:47 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:27:25 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:27:21 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:26:57 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:24:57 +0000 2020
"rt @adamschiff: joe biden’s agenda is practical, ambitious and humane.it will be a game-changer for our workers, our climate, our kids, a…",biden,Thu May 28 23:24:49 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:24:48 +0000 2020
"rt @tori_sachs: .@govwhitmer says she will ""work like heck to make sure"" joe biden wins michigan. imagine if she had the same energy to fin…",biden,Thu May 28 23:24:44 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:24:39 +0000 2020
"rt @millercrime: if you think that biden/the dnc wants you/your loved ones to have basic human rights (health care), think againhere is a…",biden,Thu May 28 23:24:39 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:24:36 +0000 2020
rt @trumpwarroom: @joebiden biden's public health advisory committee repeatedly downplayed coronavirus threat,biden,Thu May 28 23:24:05 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:23:43 +0000 2020
"rt @adamschiff: joe biden’s agenda is practical, ambitious and humane.it will be a game-changer for our workers, our climate, our kids, a…",biden,Thu May 28 23:23:02 +0000 2020
"rt @adamschiff: joe biden’s agenda is practical, ambitious and humane.it will be a game-changer for our workers, our climate, our kids, a…",biden,Thu May 28 23:22:46 +0000 2020
@leesmithdc @molmccann @fdrlst an image of joe biden wearing a mask means he cares for the health of his fellow americans. is that so wrong?,biden,Thu May 28 23:20:49 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:18:35 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:18:06 +0000 2020
rt @lucytrumplican: video of biden looking very frail at veterans memorial sparks concerns over his health via @gat…,biden,Thu May 28 23:18:04 +0000 2020
rt @leesmithdc: terrific ⁦@molmccann⁩ piece in ⁦@fdrlst⁩ — masks aren’t about public health but social control. image of biden in black mas…,biden,Thu May 28 23:17:40 +0000 2020
