headlines,terms,dates
@marshallcohen @radiobobkansas trump's public health misinformation and trump-kushner ppe trafficking are crimes ag… https://t.co/ocgluqve2l,trump,Thu May 28 23:59:59 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:59:58 +0000 2020
"rt @luisespinosa304: 19/5/2020los italianos instan a las naciones del g20 a unirse a trump para desfinanciar a la omsmás de 200,000 ita…",trump,Thu May 28 23:59:56 +0000 2020
rt @kenklippenstein: trump's decision to defund the world health organization could be so devastating to africa that even the pentagon is c…,trump,Thu May 28 23:59:52 +0000 2020
"@realdonaldtrump has to destroy all regulations that deal with public health, humanity and preservation of wildlife… https://t.co/od1mbjxoqg",trump,Thu May 28 23:59:50 +0000 2020
rt @rightntruthmat: @realdonaldtrump trump’s mental health needs to be the national topic of discussionhe continually exhibits shocking b…,trump,Thu May 28 23:59:48 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:59:48 +0000 2020
"rt @trump_detester: the kind of president who signs an exucutive order immediately after he was wronged by twitter, but does nothing to add…",trump,Thu May 28 23:59:46 +0000 2020
"rt @wsj: days after president trump said the u.s. would freeze funding for the world health organization, australia pushed for a revamp of…",trump,Thu May 28 23:59:45 +0000 2020
"rt @ronwyden: trump’s order is plainly illegal. after driving our country into an economic and health care disaster, trump is desperately t…",trump,Thu May 28 23:59:43 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:59:36 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:59:34 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:59:32 +0000 2020
"trump sends tweet marking 'very sad milestone' of 100,000 u.s. coronavirus deaths https://t.co/yjtytlvptq https://t.co/ogvkwwm2sn",trump,Thu May 28 23:59:30 +0000 2020
"rt @kylegriffin1: the trump admin mishandled the initial distribution of the only approved coronavirus medication, remdesivir, delaying tre…",trump,Thu May 28 23:59:30 +0000 2020
"rt @kylegriffin1: the trump admin mishandled the initial distribution of the only approved coronavirus medication, remdesivir, delaying tre…",trump,Thu May 28 23:59:30 +0000 2020
rt @joebiden: we are not prepared for a pandemic. trump has rolled back progress president obama and i made to strengthen global health sec…,trump,Thu May 28 23:59:29 +0000 2020
"rt @masssierraclub: .@realdonaldtrump &amp; @epaawheeler’s #cleanercars rollback fails to protect our health, safety and economy. luckily, @mas…",trump,Thu May 28 23:59:27 +0000 2020
rt @joebiden: we’re in the middle of a global pandemic — and not only is donald trump preventing people from getting the health insurance t…,trump,Thu May 28 23:59:18 +0000 2020
