headlines,terms,dates
rt @ofa_sc: rt so everyone knows: mitt romney is the most extreme candidate on immigration in modern history. http://t.co/ab4kza1h,romney,Thu Oct 18 23:59:46 +0000 2012
rt @ofa_tx: rt so everyone knows: mitt romney is the most extreme candidate on immigration in modern history. http://t.co/rva1ubld,romney,Thu Oct 18 23:59:33 +0000 2012
"#romney switched his stance on iran, abortion, birth control, taxes, immigration, women rights, and more. his platform is: ""whatever wins""",romney,Thu Oct 18 23:58:38 +0000 2012
"mitt romney: dad was born in mexico, now here's my hard-line immigration plan http://t.co/r8or8axt #immigration",romney,Thu Oct 18 23:57:30 +0000 2012
immigrant groups point out romney vetoed massachusetts dream act http://t.co/e2wzcqrn via @zite,romney,Thu Oct 18 23:57:02 +0000 2012
rt @ofa_tx: rt so everyone knows: mitt romney is the most extreme candidate on immigration in modern history. http://t.co/rva1ubld,romney,Thu Oct 18 23:56:39 +0000 2012
rt so everyone knows: mitt romney is the most extreme candidate on immigration in modern history. http://t.co/rva1ubld,romney,Thu Oct 18 23:55:09 +0000 2012
"rt @only4rm: as governor of ma, @mittromney vetoed the state's version of the #dreamact: http://t.co/55bxcvvr @jdbalart @votolatino @ncl ...",romney,Thu Oct 18 23:53:15 +0000 2012
"rt @only4rm: as governor of ma, @mittromney vetoed the state's version of the #dreamact: http://t.co/55bxcvvr @jdbalart @votolatino @ncl ...",romney,Thu Oct 18 23:52:53 +0000 2012
"rt @only4rm: as governor of ma, @mittromney vetoed the state's version of the #dreamact: http://t.co/55bxcvvr @jdbalart @votolatino @ncl ...",romney,Thu Oct 18 23:52:43 +0000 2012
rt @ofa_sc: rt so everyone knows: mitt romney is the most extreme candidate on immigration in modern history. http://t.co/ab4kza1h,romney,Thu Oct 18 23:51:07 +0000 2012
"rt @only4rm: as governor of ma, @mittromney vetoed the state's version of the #dreamact: http://t.co/55bxcvvr @jdbalart @votolatino @ncl ...",romney,Thu Oct 18 23:50:15 +0000 2012
immigrant groups point out romney vetoed massachusetts dream act http://t.co/bbqfuvcs via @zite,romney,Thu Oct 18 23:49:22 +0000 2012
"mitt romney's dad was born in mexico, now here's his immigration plan http://t.co/6fj3epyg",romney,Thu Oct 18 23:48:41 +0000 2012
romney’s inaccurate spanish-language ad on immigration (video) http://t.co/mmiqay7a,romney,Thu Oct 18 23:48:36 +0000 2012
"as governor of ma, @mittromney vetoed the state's version of the #dreamact: http://t.co/55bxcvvr @jdbalart @votolatino @nclr @woodhouseb",romney,Thu Oct 18 23:48:33 +0000 2012
immigrant groups call for romney to take down ad http://t.co/lmvftgr0 via @huffpostpol,romney,Thu Oct 18 23:48:07 +0000 2012
"will a romney victory in november spell the end of ""deferred action"" program? think again... http://t.co/3eqtlno6",romney,Thu Oct 18 23:47:50 +0000 2012
ronald reagan and romney`s #immigration stance in last night`s presidential … – jornal.us news agency,romney,Thu Oct 18 23:46:02 +0000 2012
romney's inaccurate spanish-language ad on immigration (video) - houston chronicle (blog… http://t.co/hpes6qap,romney,Thu Oct 18 23:45:57 +0000 2012
