headlines,terms,dates
"rt @thisisjorge: ""second term presidents look for legacy issues...if re-elected obama may look to immigration reform."" — @jordanfabian # ...",obama,Thu Oct 18 23:59:06 +0000 2012
"""second term presidents look for legacy issues...if re-elected obama may look to immigration reform."" — @jordanfabian #latinovote",obama,Thu Oct 18 23:57:17 +0000 2012
we hispanics were promised immigration reform by obama admin. didn't happen when they had super majority. we r stuck between donkey&amp;elephant,obama,Thu Oct 18 23:56:26 +0000 2012
"debate_sooo...silent on immigration mr.obama. 1st 2 yrs democrat congress,democrat senate but no bill? why didn't u explain? broken promise.",obama,Thu Oct 18 23:44:38 +0000 2012
obama's immigration lie - #tcot #nra #gop #ncgop via @wsj,obama,Thu Oct 18 23:38:55 +0000 2012
"forget big bird. forget the ""binder full or women"".the immigration issue is discussed by president obama and... ",obama,Thu Oct 18 23:38:50 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 23:26:07 +0000 2012
@truthteam2012 #obama had his 1st two years unchecked. why no immigration reform?,obama,Thu Oct 18 23:07:33 +0000 2012
"rt @damiencave: very true. rt @tedhesson: no, obama hasn't just been deporting ""gang bangers"" #immigration",obama,Thu Oct 18 23:04:13 +0000 2012
rt @skk_wire at @fi2w and @latinousa forum on #latinovote post #immigration smackdown btw obama and romney at tues debate,obama,Thu Oct 18 22:59:51 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 22:58:56 +0000 2012
at @fi2w and @latinousa forum on #latinovote post #immigration smackdown btw obama and romney at tues debate,obama,Thu Oct 18 22:57:51 +0000 2012
"rt @spinozaen: mitt romney: “obama failed on immigration”. i mean, look at him. [more on #2012debate",obama,Thu Oct 18 22:56:46 +0000 2012
"if it was very easy to come to america &amp; be legal permanent resident,maybe i wouldn't resent obama's immigration platform.#balitangamerica ☺",obama,Thu Oct 18 22:54:58 +0000 2012
obama sai he’d put out an immigration plan that would deal with our immigration challenges.he never even filed a plan. #nh #ct #iowa #wi #oh,obama,Thu Oct 18 22:41:57 +0000 2012
rt @markos romney dodges immigration by talking about ... obama's pension? ,obama,Thu Oct 18 22:41:32 +0000 2012
rt @motherjones: the vast majority of undocumented immigrants who have been deported under obama do not have violent criminal records: h ...,obama,Thu Oct 18 22:41:12 +0000 2012
via pasadenaudh: president #obama tries to describe mitt romney’s immigration plan…tries not to burst out lau… ,obama,Thu Oct 18 22:38:23 +0000 2012
immigration coalition director chung wha hong says that immigrants have not forgotten the deportation situation under obama #latinovote,obama,Thu Oct 18 22:35:08 +0000 2012
. @maria_hinojosa are #latinovote gonna be angry abt obama's action re: immigration or are they gonna take initiative and vote this election,obama,Thu Oct 18 22:34:24 +0000 2012
#deferredaction was pivotal. it allowed obama to change the narrative from an unkept promise of immigration reform #latinovote @ascoa @fi2w,obama,Thu Oct 18 22:34:22 +0000 2012
rt @politifact: obama says romney called the arizona immigration law a 'model for the nation.' claim is still false. ,obama,Thu Oct 18 22:32:17 +0000 2012
rt @politifact: romney said obama promised he would offer immigration bill in his first year but didn't. true. #debate,obama,Thu Oct 18 22:31:55 +0000 2012
breitbart news: breitbart tv via @sharethisobama on immigration: only deport 'gang bangers',obama,Thu Oct 18 22:27:56 +0000 2012
rt @thisfeedsme: only 14% w/ record mt @motherjones vast maj. of undocumented immigrants deported under obama no violent criminal record ...,obama,Thu Oct 18 22:17:40 +0000 2012
"rt @tedhesson: no, obama hasn't just been deporting ""gang bangers"" #immigration #truth",obama,Thu Oct 18 22:04:41 +0000 2012
rt @ailanational: abc news coverage of what obama and romney said about immigration during the hofstra debate (transcript): ...,obama,Thu Oct 18 22:03:43 +0000 2012
mt @moderateinaz: romney #immigration advisor kris kobach: author of #az #sb1070. #justice4az #latism @adiosarpaio #dreamact #penzone #obama,obama,Thu Oct 18 22:03:00 +0000 2012
"interesting read: obama hasn't just been deporting ""gang bangers"" #immigration",obama,Thu Oct 18 22:01:32 +0000 2012
@luisgutierrez obama's immigration record shows a long pattern of discrimination against latinos! 1. he (cont) ,obama,Thu Oct 18 22:00:58 +0000 2012
"decision 2012: obama, romney debate immigration reform but provide few solutions ",obama,Thu Oct 18 22:00:53 +0000 2012
rt @students4obama fact: the romney campaign said it would end president obama’s deferred action order for dreamers: ,obama,Thu Oct 18 22:00:17 +0000 2012
rt @thisfeedsme: only 14% w/ record mt @motherjones vast maj. of undocumented immigrants deported under obama no violent criminal record ...,obama,Thu Oct 18 22:00:13 +0000 2012
"rt @tedhesson: no, obama hasn't just been deporting ""gang bangers"" #immigration",obama,Thu Oct 18 21:58:34 +0000 2012
"very true. rt @tedhesson: no, obama hasn't just been deporting ""gang bangers"" #immigration",obama,Thu Oct 18 21:55:02 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 21:54:14 +0000 2012
rt @stefcutter: get the facts on president obama’s record on immigration: #forward,obama,Thu Oct 18 21:48:27 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 21:48:24 +0000 2012
rt @politicoroger: obama gives emotional answer on immigration in foreground as romney smirks in background. #debates,obama,Thu Oct 18 21:48:18 +0000 2012
immigration questions not answered by debate: obama also said his administration successfully challenged portion... ,obama,Thu Oct 18 21:38:34 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 21:37:44 +0000 2012
@barackobama administration starts phasing out 287(g) program #immigration,obama,Thu Oct 18 21:30:12 +0000 2012
obama didn't jump on immigration cuz he's deported more ppl than any other president. romney helped him cover that up. #debate #election2012,obama,Thu Oct 18 21:29:04 +0000 2012
"if romney's elected, he'll be just as bad on #immigration as gwb &amp; obama. #teaparty coulda forced him to be better, but didn't try. #tcot",obama,Thu Oct 18 21:29:00 +0000 2012
"@macbroccoli e questa?? @spinozaen: mitt romney: “obama failed on immigration”. i mean, look at him.",obama,Thu Oct 18 21:28:13 +0000 2012
#mitt2012 spanish-lang ad points out he's as bad as obama on #immigration: #teaparty #tcot #gop #sgp #tpp #ocra,obama,Thu Oct 18 21:26:44 +0000 2012
"presidential debate: obama, romney spar over immigration - abc news (via @abc) #immigration #debates #election2012",obama,Thu Oct 18 21:25:25 +0000 2012
"president obama is taking steps to make immigration policy more fair, efficient, and just. see how: ",obama,Thu Oct 18 21:20:36 +0000 2012
"rt @carlcjsmith: ""what are you going to do about immigration?"" romney: well, since obama has been president, oil demand has went up 35%"" ...",obama,Thu Oct 18 21:14:01 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 21:06:10 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 20:59:56 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 20:58:26 +0000 2012
rt @truthteam2012: get the facts on president obama’s record on immigration: ,obama,Thu Oct 18 20:57:04 +0000 2012
"rt @nytimes: fact-checks on libya, energy policy, immigration and other subjects of the 2nd obama-romney debate ",obama,Thu Oct 18 20:56:23 +0000 2012
"presidential debate: on immigration, romney and obama affirmed their stances | fox news latino via @foxnewslatino",obama,Thu Oct 18 20:45:39 +0000 2012
"rt @mastadonarmy: remember, obama only want to deport ""gang-bangers"". wow. what a solid immigration policy. not like romney's 10 point p ...",obama,Thu Oct 18 20:45:12 +0000 2012
