headlines,terms,dates
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:59:26 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:59:21 +0000 2016
"if hillary appoints scotus justice (for life) laws regarding 2nd amendment, abortion, immigration, executive orders, &amp; more will be attacked",hillary,Sat Oct 08 23:59:16 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:58:50 +0000 2016
rt @davis1087: @realdonaldtrump 🇺🇸on #debatenight ignore the #msm moderator and pound 👊 #hillary on #emails #benghazi #billssexlife and #i…,hillary,Sat Oct 08 23:58:25 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:58:19 +0000 2016
rt @va4djt: hillary clinton on immigration. ,hillary,Sat Oct 08 23:57:43 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:57:41 +0000 2016
rt @davis1087: @realdonaldtrump 🇺🇸on #debatenight ignore the #msm moderator and pound 👊 #hillary on #emails #benghazi #billssexlife and #i…,hillary,Sat Oct 08 23:57:38 +0000 2016
rt @davis1087: @realdonaldtrump 🇺🇸on #debatenight ignore the #msm moderator and pound 👊 #hillary on #emails #benghazi #billssexlife and #i…,hillary,Sat Oct 08 23:56:40 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:56:05 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:55:40 +0000 2016
"rt @sandratxas: obama rushes more than 900 refugees into us on consecutive days,185000 in 2017 #immigration #trump#wikileaks #hillary…",hillary,Sat Oct 08 23:55:15 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:54:25 +0000 2016
"rt @sandratxas: obama rushes more than 900 refugees into us on consecutive days,185000 in 2017 #immigration #trump#wikileaks #hillary…",hillary,Sat Oct 08 23:54:00 +0000 2016
"rt @notjoshearnest: tim kaine was against abortion, immigration, and gay marriage before he was for them. so he's the male hillary.",hillary,Sat Oct 08 23:53:20 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:53:11 +0000 2016
"rt @hrtablaze: 🚨black dems, look at what hillary thinks about your race! yall must be replaced via immigration! she thinks yall are losers…",hillary,Sat Oct 08 23:52:55 +0000 2016
